iter	Passed	Remaining
0	115	115078
1	116	58255
2	118	39272
3	119	29833
4	121	24151
5	122	20333
6	124	17615
7	125	15589
8	127	14014
9	130	12875
10	131	11833
11	132	10940
12	134	10207
13	135	9568
14	137	9020
15	139	8552
16	140	8124
17	142	7752
18	143	7431
19	145	7140
20	147	6868
21	148	6616
22	150	6386
23	152	6182
24	153	5981
25	154	5800
26	156	5630
27	158	5497
28	159	5351
29	161	5223
30	163	5095
31	164	4974
32	165	4860
33	167	4754
34	168	4658
35	170	4558
36	171	4468
37	173	4390
38	175	4312
39	176	4236
40	177	4160
41	179	4088
42	180	4022
43	182	3957
44	183	3894
45	184	3833
46	186	3775
47	188	3728
48	189	3682
49	191	3634
50	192	3583
51	194	3539
52	195	3500
53	197	3453
54	198	3412
55	199	3370
56	201	3329
57	202	3295
58	204	3265
59	206	3233
60	207	3198
61	209	3165
62	210	3133
63	212	3100
64	213	3066
65	214	3035
66	215	3003
67	217	2979
68	219	2957
69	220	2932
70	222	2905
71	223	2880
72	224	2854
73	226	2831
74	227	2807
75	228	2783
76	230	2759
77	231	2740
78	233	2721
79	235	2703
80	236	2681
81	237	2663
82	238	2637
83	240	2617
84	241	2597
85	242	2579
86	244	2561
87	245	2546
88	247	2532
89	248	2517
90	250	2500
91	251	2484
92	253	2467
93	254	2452
94	255	2436
95	257	2422
96	258	2408
97	260	2394
98	262	2387
99	263	2375
100	265	2363
101	267	2350
102	268	2337
103	269	2323
104	271	2310
105	272	2298
106	273	2285
107	275	2271
108	276	2262
109	278	2254
110	280	2244
111	281	2234
112	283	2225
113	285	2216
114	286	2207
115	288	2198
116	289	2188
117	292	2183
118	293	2175
119	295	2165
120	297	2160
121	298	2151
122	300	2143
123	302	2134
124	303	2126
125	306	2125
126	308	2117
127	310	2115
128	312	2110
129	314	2104
130	316	2097
131	318	2091
132	320	2089
133	322	2085
134	324	2080
135	326	2076
136	329	2072
137	330	2066
138	332	2058
139	334	2051
140	335	2045
141	337	2040
142	340	2041
143	343	2039
144	344	2032
145	346	2025
146	347	2018
147	349	2011
148	351	2008
149	353	2004
150	355	1997
151	357	1995
152	359	1992
153	361	1986
154	363	1979
155	364	1972
156	366	1968
157	368	1965
158	371	1964
159	373	1958
160	374	1950
161	375	1943
162	377	1936
163	378	1928
164	380	1926
165	382	1922
166	384	1919
167	386	1914
168	388	1912
169	390	1906
170	391	1899
171	393	1893
172	394	1888
173	396	1884
174	398	1879
175	400	1873
176	401	1867
177	403	1861
178	404	1854
179	405	1848
180	407	1843
181	408	1838
182	411	1835
183	413	1832
184	415	1829
185	416	1824
186	418	1819
187	420	1814
188	421	1809
189	423	1804
190	425	1801
191	427	1798
192	429	1795
193	430	1790
194	432	1784
195	433	1778
196	434	1773
197	436	1767
198	437	1762
199	440	1761
200	442	1758
201	444	1754
202	446	1751
203	447	1746
204	449	1741
205	450	1736
206	452	1731
207	454	1730
208	456	1727
209	458	1725
210	460	1723
